epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.058,2.14646,4.37882,1.23651,0.01785,0.12513,0.03783,0.02232,2.04547,4.21221,1.05737,0.000193118,0.000193118,0.000193118
2,242.812,2.21633,3.77132,1.11211,0.63936,0.06378,0.07341,0.0417,2.1411,3.44456,1.07532,0.000312072,0.000312072,0.000312072
3,339.173,2.227,3.26166,1.10189,0.61796,0.09765,0.09828,0.05553,2.1069,2.92506,1.0731,0.000353411,0.000353411,0.000353411
4,496.394,2.18136,2.94751,1.07911,0.67528,0.10233,0.10902,0.06103,2.0656,2.5073,1.05312,0.000238728,0.000238728,0.000238728
5,629.711,2.13619,2.75686,1.06805,0.60927,0.13221,0.12966,0.07641,2.02978,2.38921,1.04217,0.000122304,0.000122304,0.000122304
