epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7994.33,1.61023,1.19836,0.96845,0.67879,0.57591,0.61477,0.43417,1.54995,1.10034,0.97159,0.000468665,0.000468665,0.000468665
43,8181.94,1.62151,1.20892,0.96134,0.68255,0.58249,0.63082,0.4353,1.56866,1.0965,0.9693,0.000465755,0.000465755,0.000465755
44,8604.43,1.58527,1.17854,0.95391,0.67646,0.59349,0.62745,0.43958,1.5273,1.11296,0.96277,0.000462844,0.000462844,0.000462844
45,8801.55,1.61611,1.18056,0.9562,0.73078,0.58146,0.63908,0.45503,1.52028,1.09223,0.96382,0.000459934,0.000459934,0.000459934
46,8947.32,1.57786,1.15877,0.96248,0.74086,0.56781,0.64787,0.45395,1.52015,1.07666,0.95973,0.000457023,0.000457023,0.000457023
47,9112.64,1.58734,1.1621,0.95509,0.70559,0.56544,0.62346,0.44641,1.51886,1.10638,0.96056,0.000454112,0.000454112,0.000454112
48,9289.59,1.5795,1.15292,0.95353,0.72792,0.57282,0.63888,0.4517,1.49692,1.04757,0.95734,0.000451202,0.000451202,0.000451202
49,9435.93,1.56631,1.13891,0.95523,0.68158,0.58648,0.63279,0.4387,1.53503,1.08998,0.96572,0.000448291,0.000448291,0.000448291
50,9534.41,1.56638,1.12799,0.95487,0.69709,0.57994,0.62925,0.44512,1.5259,1.09529,0.9643,0.000445381,0.000445381,0.000445381
51,9767.11,1.54117,1.12971,0.95807,0.73447,0.57269,0.64315,0.4384,1.58768,1.06708,0.97357,0.00044247,0.00044247,0.00044247
52,9975.37,1.55968,1.11849,0.95388,0.71391,0.57215,0.63723,0.44303,1.51309,1.06797,0.96309,0.000439559,0.000439559,0.000439559
53,10327.6,1.54846,1.10983,0.95679,0.73788,0.59767,0.66338,0.46582,1.50671,1.053,0.95643,0.000436649,0.000436649,0.000436649
54,10595.1,1.61592,1.13549,0.95994,0.71505,0.62393,0.67417,0.47625,1.51662,1.03873,0.95939,0.000433738,0.000433738,0.000433738
55,10729.2,1.5421,1.08164,0.95151,0.76493,0.63304,0.68666,0.48886,1.53365,1.03813,0.95874,0.000430828,0.000430828,0.000430828
56,10951,1.57422,1.10977,0.94963,0.69406,0.61014,0.6622,0.4766,1.50693,1.03316,0.95723,0.000427917,0.000427917,0.000427917
