epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,35416.1,1.29633,0.78616,0.89285,0.87482,0.75876,0.81732,0.61598,1.29451,0.75356,0.90584,7.28238e-05,7.28238e-05,7.28238e-05
179,35578.5,1.28555,0.77385,0.88984,0.87613,0.75727,0.81839,0.6135,1.29859,0.75492,0.90679,6.99132e-05,6.99132e-05,6.99132e-05
180,35927.4,1.29999,0.79325,0.88983,0.8746,0.75969,0.8203,0.61672,1.29332,0.75034,0.90546,6.70026e-05,6.70026e-05,6.70026e-05
181,36236.4,1.2669,0.77187,0.89073,0.87415,0.76445,0.8222,0.61843,1.28991,0.74762,0.90457,6.4092e-05,6.4092e-05,6.4092e-05
182,36382.6,1.28635,0.78399,0.88863,0.88221,0.75658,0.82241,0.62292,1.29025,0.75119,0.90465,6.11814e-05,6.11814e-05,6.11814e-05
183,36476.8,1.29239,0.78397,0.8895,0.87726,0.7555,0.82299,0.62354,1.2913,0.74974,0.90524,5.82708e-05,5.82708e-05,5.82708e-05
184,36581.4,1.30748,0.79065,0.89314,0.86744,0.75481,0.82029,0.61936,1.2937,0.75321,0.906,5.53602e-05,5.53602e-05,5.53602e-05
185,36678.7,1.27939,0.77688,0.88649,0.87281,0.76407,0.82471,0.62695,1.27748,0.74533,0.90237,5.24496e-05,5.24496e-05,5.24496e-05
186,37063.7,1.29136,0.78237,0.88738,0.87645,0.76379,0.82091,0.62168,1.28636,0.74572,0.90399,4.9539e-05,4.9539e-05,4.9539e-05
187,37343.5,1.29945,0.7903,0.88796,0.86916,0.76629,0.82314,0.62412,1.28216,0.74523,0.90363,4.66284e-05,4.66284e-05,4.66284e-05
188,37489.3,1.28372,0.77103,0.88929,0.87595,0.76287,0.82382,0.62542,1.28071,0.74235,0.90327,4.37178e-05,4.37178e-05,4.37178e-05
189,37680.9,1.28908,0.78106,0.88738,0.8821,0.76419,0.8237,0.62579,1.27761,0.74416,0.9016,4.08072e-05,4.08072e-05,4.08072e-05
190,38035,1.29244,0.78466,0.88677,0.89208,0.75375,0.82214,0.62473,1.27618,0.74473,0.90188,3.78966e-05,3.78966e-05,3.78966e-05
191,38134.9,1.30554,0.79839,0.89521,0.88595,0.74942,0.81548,0.61503,1.29185,0.76237,0.9067,3.4986e-05,3.4986e-05,3.4986e-05
192,38195.9,1.2938,0.7867,0.89287,0.86859,0.7522,0.81301,0.61025,1.29996,0.77097,0.9092,3.20754e-05,3.20754e-05,3.20754e-05
193,38239.8,1.27881,0.77134,0.88771,0.86303,0.75089,0.81369,0.61091,1.30512,0.76958,0.90942,2.91648e-05,2.91648e-05,2.91648e-05
194,38280.9,1.29238,0.77745,0.88971,0.8636,0.75594,0.81484,0.61067,1.30527,0.76297,0.90951,2.62542e-05,2.62542e-05,2.62542e-05
195,38345.9,1.26662,0.7584,0.88355,0.86142,0.75306,0.81604,0.61461,1.29822,0.75984,0.90674,2.33436e-05,2.33436e-05,2.33436e-05
196,38411.7,1.28921,0.77144,0.88887,0.88221,0.74919,0.81784,0.61623,1.29329,0.75886,0.90683,2.0433e-05,2.0433e-05,2.0433e-05
197,38462.1,1.27715,0.76857,0.88801,0.8704,0.75552,0.8165,0.61687,1.29357,0.75562,0.90611,1.75224e-05,1.75224e-05,1.75224e-05
198,38531.5,1.27122,0.75999,0.88742,0.87875,0.75522,0.81945,0.62067,1.2886,0.75326,0.90517,1.46118e-05,1.46118e-05,1.46118e-05
199,38625.1,1.28875,0.76884,0.8861,0.87893,0.75413,0.81944,0.61853,1.29196,0.75556,0.90572,1.17012e-05,1.17012e-05,1.17012e-05
200,38700.5,1.25002,0.75187,0.88118,0.87416,0.75642,0.81934,0.61988,1.28926,0.75271,0.90503,8.7906e-06,8.7906e-06,8.7906e-06
