epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.832,2.15646,4.38021,1.23681,0.01962,0.12974,0.04094,0.02329,2.05812,4.18368,1.05902,0.000193118,0.000193118,0.000193118
2,138.219,2.21797,3.71511,1.1229,0.48422,0.07486,0.07727,0.04345,2.1662,3.30759,1.067,0.000387192,0.000387192,0.000387192
3,195.037,2.21975,3.13429,1.10224,0.67513,0.08925,0.10685,0.06249,2.09631,2.66803,1.07482,0.000579325,0.000579325,0.000579325
4,249.791,2.15734,2.68989,1.08527,0.65095,0.14344,0.12198,0.07013,2.01593,2.14902,1.05983,0.000579268,0.000579268,0.000579268
5,329.088,2.11416,2.37421,1.06435,0.58525,0.15867,0.11923,0.06819,1.97593,2.01034,1.05806,0.000576358,0.000576358,0.000576358
6,382.237,2.06316,2.1565,1.05628,0.55482,0.18115,0.16333,0.09455,1.96009,1.85753,1.04616,0.000573447,0.000573447,0.000573447
7,491.551,2.01725,2.01848,1.04447,0.45353,0.22653,0.16109,0.09687,1.9001,1.83851,1.05179,0.000570536,0.000570536,0.000570536
8,544.396,1.98749,1.95988,1.0459,0.43519,0.25791,0.2069,0.12614,1.91686,1.7281,1.04305,0.000567626,0.000567626,0.000567626
9,611.499,1.96284,1.85923,1.03345,0.38318,0.2598,0.22596,0.13984,1.87037,1.68883,1.02865,0.000564715,0.000564715,0.000564715
10,700.879,1.92457,1.84317,1.03456,0.49339,0.26999,0.24422,0.14826,1.82932,1.66734,1.02912,0.000561805,0.000561805,0.000561805
11,5751.89,1.91232,1.7764,1.02796,0.47491,0.29896,0.24112,0.14866,1.79955,1.62064,1.01715,0.000558894,0.000558894,0.000558894
12,5813.97,1.86855,1.74132,1.01521,0.59502,0.30143,0.28161,0.1759,1.84073,1.54098,1.01607,0.000555983,0.000555983,0.000555983
13,5914.34,1.88782,1.70687,1.02342,0.38245,0.33222,0.27104,0.16867,1.80865,1.56208,1.02163,0.000553073,0.000553073,0.000553073
14,6052.17,1.85832,1.6707,1.01223,0.64735,0.29336,0.30743,0.19852,1.74801,1.53853,1.00413,0.000550162,0.000550162,0.000550162
15,6100.63,1.85393,1.66252,1.01048,0.66067,0.27791,0.31389,0.19797,1.76314,1.53817,1.00298,0.000547252,0.000547252,0.000547252
16,6147.28,1.809,1.59257,1.00201,0.67034,0.30995,0.33879,0.226,1.72526,1.44463,1.0049,0.000544341,0.000544341,0.000544341
17,6313.67,1.79914,1.55971,1.00156,0.41397,0.35595,0.36213,0.2386,1.70316,1.43501,0.99475,0.00054143,0.00054143,0.00054143
18,6367.68,1.79902,1.55681,0.99736,0.71034,0.33279,0.37374,0.24545,1.69875,1.40585,0.99121,0.00053852,0.00053852,0.00053852
19,6452.59,1.8198,1.52202,1.00121,0.64564,0.32135,0.36508,0.23673,1.71028,1.41574,0.99278,0.000535609,0.000535609,0.000535609
20,6515.35,1.79029,1.49191,0.99436,0.69616,0.34537,0.38462,0.2532,1.71729,1.4036,0.99671,0.000532699,0.000532699,0.000532699
21,6678.66,1.76544,1.51046,0.98926,0.54984,0.38061,0.40751,0.26832,1.68387,1.3853,0.99103,0.000529788,0.000529788,0.000529788
22,6778.84,1.79493,1.46129,0.99719,0.4743,0.40216,0.41275,0.28077,1.67386,1.34865,0.992,0.000526877,0.000526877,0.000526877
23,6841.68,1.73683,1.44728,0.98142,0.54158,0.38561,0.41756,0.28539,1.65508,1.32744,0.98293,0.000523967,0.000523967,0.000523967
